title,certificate,duration,genre,rating,stars,votes
Cobra Kai,TV-14,30,"Action, Comedy, Drama",8.5,7,177031
The Crown,TV-MA,58,"Biography, Drama, History",8.7,7,199885
Better Call Saul,TV-MA,46,"Crime, Drama",8.9,7,501384
Devil in Ohio,TV-MA,356,"Drama, Horror, Mystery",5.9,7,9773
Cyberpunk: Edgerunners,TV-MA,24,"Animation, Action, Adventure",8.6,7,15413
The Sandman,TV-MA,45,"Drama, Fantasy, Horror",7.8,7,116358
Rick and Morty,TV-MA,23,"Animation, Adventure, Comedy",9.2,7,502160
Breaking Bad,TV-MA,49,"Crime, Drama, Thriller",9.5,7,1831340
The Imperfects,TV-MA,45,"Action, Adventure, Drama",6.3,7,3123
Blonde,NC-17,166,"Biography, Drama, Mystery",6.2,10,935
Stranger Things,TV-14,51,"Drama, Fantasy, Horror",8.7,7,1149889
End of the Road,R,89,"Action, Crime, Drama",4.7,10,5122
The Walking Dead,TV-MA,44,"Drama, Horror, Thriller",8.1,7,970060
Glass Onion: A Knives Out Mystery,PG-13,139,"Crime, Drama, Mystery",8.1,10,547
Do Revenge,TV-MA,118,Comedy,6.4,10,13457
I Came By,TV-MA,110,Thriller,6.1,10,16230
No Limit,TV-MA,118,"Drama, Romance, Sport",5.8,10,1695
Peaky Blinders,TV-MA,60,"Crime, Drama",8.8,7,531058
The Lord of the Rings: The Fellowship of the Ring,PG-13,178,"Action, Adventure, Drama",8.8,10,1844055
Grey's Anatomy,TV-14,41,"Drama, Romance",7.6,7,303617
Supernatural,TV-14,44,"Drama, Fantasy, Horror",8.4,7,439597
American Horror Story,TV-MA,60,"Drama, Horror, Sci-Fi",8.0,7,312970
The Accidental Narco,TV-MA,50,"Action, Biography, Crime",7.4,7,2056
NCIS,TV-14,60,"Action, Crime, Drama",7.8,7,145895
Friends,TV-14,22,"Comedy, Romance",8.9,7,979424
Shameless,TV-MA,46,"Comedy, Drama",8.6,7,239541
Modern Family,TV-PG,22,"Comedy, Drama, Romance",8.5,7,423963
Ozark,TV-MA,60,"Crime, Drama, Thriller",8.5,7,309552
Echoes,TV-MA,326,"Drama, Mystery, Thriller",5.9,7,9380
The Gray Man,PG-13,122,"Action, Thriller",6.5,12,172136
Me Time,R,101,Comedy,5.0,10,26092
Suits,TV-14,44,"Comedy, Drama",8.5,7,405863
Vikings,TV-MA,44,"Action, Adventure, Drama",8.5,7,524630
The Witcher,TV-MA,60,"Action, Adventure, Drama",8.2,7,481837
The Blacklist,TV-14,43,"Crime, Drama, Mystery",8.0,7,245591
Seinfeld,TV-PG,22,Comedy,8.9,7,314089
Lucifer,TV-14,42,"Crime, Drama, Fantasy",8.1,7,318928
The Umbrella Academy,TV-14,60,"Action, Adventure, Comedy",7.9,7,243344
The Last Kingdom,TV-MA,60,"Action, Drama, History",8.5,7,136936
Partner Track,TV-MA,60,Drama,6.8,7,3840
Love in the Villa,TV-14,114,"Comedy, Romance",5.3,10,7048
Black Mirror,TV-MA,60,"Drama, Mystery, Sci-Fi",8.8,7,535782
Brooklyn Nine-Nine,TV-14,22,"Comedy, Crime",8.4,7,309004
Squid Game,TV-MA,55,"Action, Drama, Mystery",8.0,7,435160
Gilmore Girls,TV-PG,44,"Comedy, Drama",8.2,7,124087
Outlander,TV-MA,60,"Drama, Fantasy, Romance",8.4,7,158268
Ófærð,TV-14,60,"Crime, Drama, Mystery",8.0,7,21641
Never Have I Ever,TV-14,30,"Comedy, Drama",7.9,7,56216
Attack on Titan,TV-MA,24,"Animation, Action, Adventure",9.0,7,363297
Manifest,TV-14,43,"Drama, Mystery, Sci-Fi",7.1,7,59167
Locke & Key,TV-14,48,"Drama, Fantasy, Horror",7.3,7,84847
Day Shift,R,113,"Action, Comedy, Fantasy",6.1,10,62931
Dark,TV-MA,60,"Crime, Drama, Mystery",8.7,7,371981
Sex Education,TV-MA,45,"Comedy, Drama",8.4,7,273671
The Lord of the Rings: The Return of the King,PG-13,201,"Action, Adventure, Drama",9.0,10,1819157
The Vampire Diaries,TV-14,43,"Drama, Fantasy, Horror",7.7,7,318383
Virgin River,TV-14,44,"Drama, Romance",7.4,7,41276
Family Guy,TV-MA,22,"Animation, Comedy",8.2,7,334757
Fargo,TV-MA,53,"Crime, Drama, Thriller",8.9,7,369918
Animal Kingdom,TV-MA,60,"Crime, Drama",8.2,7,37944
Diario de un Gigoló,TV-MA,50,Drama,6.3,7,538
How I Met Your Mother,TV-14,22,"Comedy, Romance",8.3,7,676121
Heartbreak High,TV-MA,50,"Drama, Romance",7.6,7,1502
Community,TV-14,22,Comedy,8.5,7,261138
Daredevil,TV-MA,54,"Action, Crime, Drama",8.6,7,434141
Blue Bloods,TV-14,43,"Crime, Drama, Mystery",7.7,7,40037
Bee and PuppyCat,TV-PG,7,"Animation, Short, Action",8.2,7,2385
Loving Adults,TV-MA,104,"Crime, Drama, Thriller",6.5,10,5861
Schitt's Creek,TV-14,22,Comedy,8.5,7,118638
Sing 2,PG,110,"Animation, Adventure, Comedy",7.4,12,65399
RRR,Not Rated,187,"Action, Drama",8.0,10,107203
Arcane,TV-14,41,"Animation, Action, Adventure",9.0,7,196697
The Lord of the Rings: The Two Towers,PG-13,179,"Action, Adventure, Drama",8.8,10,1642708
All Quiet on the Western Front,R,147,"Action, Drama, War",8.3,10,199
American Psycho,R,102,"Crime, Drama, Horror",7.6,10,598117
The Hobbit: An Unexpected Journey,PG-13,169,"Adventure, Fantasy",7.8,10,820021
Kleo,TV-MA,44,"Action, Crime, Drama",7.5,7,5517
Riverdale,TV-14,45,"Crime, Drama, Mystery",6.6,7,143861
Sons of Anarchy,TV-MA,45,"Crime, Drama, Thriller",8.6,7,294616
Mad Men,TV-14,47,Drama,8.7,7,237030
The Flash,TV-PG,43,"Action, Adventure, Drama",7.6,7,344187
Archer,TV-MA,22,"Animation, Action, Comedy",8.6,7,153880
Dahmer - Monster: The Jeffrey Dahmer Story,TV-MA,534,"Biography, Crime, Drama",8.5,7,5580
Mr. Robot,TV-MA,49,"Crime, Drama, Thriller",8.6,7,383470
That '70s Show,TV-14,22,"Comedy, Drama, Romance",8.1,7,169768
You,TV-MA,45,"Crime, Drama, Romance",7.7,7,234218
Look Both Ways,TV-14,110,"Comedy, Drama, Romance",6.3,10,14313
365 Days,TV-MA,114,"Drama, Romance",3.3,12,89071
I Used to Be Famous,TV-14,104,"Comedy, Drama, Music",6.6,10,2633
Titanic,PG-13,194,"Drama, Romance",7.9,10,1158746
Bridgerton,TV-MA,60,"Drama, History, Romance",7.3,7,133119
Sherlock,TV-14,88,"Crime, Drama, Mystery",9.1,7,913816
Dexter,TV-MA,53,"Crime, Drama, Mystery",8.7,7,720792
New Girl,TV-14,22,"Comedy, Romance",7.7,7,221781
The Expanse,TV-14,60,"Drama, Mystery, Sci-Fi",8.5,7,151611
Purple Hearts,TV-14,122,"Drama, Music, Romance",6.7,10,32797
The Gentlemen,R,113,"Action, Comedy, Crime",7.8,10,331508
The Good Doctor,TV-14,41,Drama,8.1,7,92641
Downton Abbey,TV-PG,58,"Drama, Romance",8.7,7,204875
Extraordinary Attorney Woo,TV-14,75,Drama,8.9,7,9538
Smallville,TV-PG,60,"Action, Adventure, Drama",7.5,7,127295
Star Trek: The Next Generation,TV-PG,44,"Action, Adventure, Sci-Fi",8.7,7,119655
BoJack Horseman,TV-MA,25,"Animation, Comedy, Drama",8.8,7,152649
"Love, Death & Robots",TV-MA,15,"Animation, Short, Action",8.4,7,165153
Money Heist,TV-MA,70,"Action, Crime, Drama",8.2,7,469640
